0,0,0.5,0,1,0
-0.0887109,-0.273436,0.762316,0.231548,1.21904,-0.207329
-0.177422,-0.546871,1.02463,0.463096,1.43807,-0.414659
-0.255044,-0.784565,1.26252,0.6657,1.62035,-0.596072
-0.332666,-1.02226,1.50041,0.868305,1.80264,-0.777485
-0.38811,-1.18847,1.68943,1.01302,1.91141,-0.907065
-0.443555,-1.35468,1.87846,1.15774,2.02018,-1.03665
-0.465732,-1.41366,1.99419,1.21563,2.01869,-1.08848
-0.48791,-1.47265,2.10993,1.27351,2.0172,-1.14031
-0.465732,-1.38866,2.12794,1.21563,1.86869,-1.08848
-0.443555,-1.30468,2.14596,1.15774,1.72018,-1.03665
-0.38811,-1.11347,2.09068,1.01302,1.46141,-0.907065
-0.332666,-0.922259,2.03541,0.868305,1.20264,-0.777485
-0.255044,-0.659565,1.93127,0.6657,0.870354,-0.596072
-0.177422,-0.396871,1.82713,0.463096,0.538072,-0.414659
-0.0887109,-0.0984356,1.69857,0.231548,0.169036,-0.207329
0,0.2,1.57,0,-0.2,0
